{   1,   0,   0,   0,   0,   0,   0,   0}
{   1,   1,   0,   0,   0,   0,   0,   0}
{   1,   2,   0,   0,   0,   0,   0,   0}
{   1,   3,   1,   0,   0,   0,   0,   0}
{   1,   4,   2,   0,   0,   0,   0,   0}
{   1,   5,   4,   1,   0,   0,   0,   0}
{   1,   6,   7,   2,   0,   0,   0,   0}
{   1,   7,  11,   5,   1,   0,   0,   0}
{   1,   8,  16,  10,   2,   0,   0,   0}
{   1,   9,  22,  18,   6,   1,   0,   0}
{   1,  10,  29,  30,  13,   2,   0,   0}
{   1,  11,  37,  47,  26,   7,   1,   0}

